"","idx","object_id","filename","filename_prosome_mask","filename_lipid_mask","class","cruise","station","haul","date","width","height","is_valid","IoU","copepod_area_pixels","copepod_mass_annotated","copepod_area_pixels_pred","copepod_mass_pred","whole_image_area_pixels"
"12",11,"20130815 104223 886 000000 0871 0344","20130815 104223 886 000000 0871 0344.bmp","20130815_104223_886_000000_0871_0344-Prosome_mask.png","20130815_104223_886_000000_0871_0344.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",293,261,"False",0.89304614241946,10718,2.15969305796649,9672,1.87433636310984,76473
"13",12,"20130815 104223 919 000000 0375 0288","20130815 104223 919 000000 0375 0288.bmp","20130815_104223_919_000000_0375_0288-Prosome_mask.png","20130815_104223_919_000000_0375_0288.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",178,569,"False",0.937142432573,13170,2.86987792053282,12902,2.78959891467152,101282
"14",13,"20130815 104226 352 000000 0135 0592","20130815 104226 352 000000 0135 0592.bmp","20130815_104226_352_000000_0135_0592-Prosome_mask.png","20130815_104226_352_000000_0135_0592.bmp-Lipid_mask.png","CglacVdors","ArcticNet2013","101",1,"8/15/2013",165,220,"False",0.772249294690946,3723,0.501958073187062,3187,0.405044091307836,36300
"15",14,"20130815 104228 617 000000 0559 0144","20130815 104228 617 000000 0559 0144.bmp","20130815_104228_617_000000_0559_0144-Prosome_mask.png","20130815_104228_617_000000_0559_0144.bmp-Lipid_mask.png","ChypVdors","ArcticNet2013","101",1,"8/15/2013",119,304,"False",0.85644959298685,6283,1.03348837516022,5576,0.876517253825277,36176
"16",15,"20130815 104229 217 000000 0779 0184","20130815 104229 217 000000 0779 0184.bmp","20130815_104229_217_000000_0779_0184-Prosome_mask.png","20130815_104229_217_000000_0779_0184.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",199,245,"False",0.80835734870317,3692,0.496199347702572,3838,0.523479781807202,48755
"17",16,"20130815 104229 684 000000 0327 0856","20130815 104229 684 000000 0327 0856.bmp","20130815_104229_684_000000_0327_0856-Prosome_mask.png","20130815_104229_684_000000_0327_0856.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",165,496,"False",0.855639361515524,11229,2.30306261979247,9929,1.94341100786226,81840
"18",17,"20130815 104230 417 000000 1072 0472","20130815 104230 417 000000 1072 0472.bmp","20130815_104230_417_000000_1072_0472-Prosome_mask.png","20130815_104230_417_000000_1072_0472.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",165,319,"False",0.813737373737374,4727,0.697851770623384,4251,0.602771594981853,52635
"19",18,"20130815 104231 683 000000 0335 0396","20130815 104231 683 000000 0335 0396.bmp","20130815_104231_683_000000_0335_0396-Prosome_mask.png","20130815_104231_683_000000_0335_0396.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",170,476,"False",0.796809403862301,10511,2.10234421111255,8749,1.63206581563463,80920
"20",19,"20130815 104232 482 000000 0227 0860","20130815 104232 482 000000 0227 0860.bmp","20130815_104232_482_000000_0227_0860-Prosome_mask.png","20130815_104232_482_000000_0227_0860.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",140,459,"False",0.897104725002691,9145,1.73487653532028,8481,1.56347881439488,64260
"21",20,"20130815 104234 248 000000 1072 0684","20130815 104234 248 000000 1072 0684.bmp","20130815_104234_248_000000_1072_0684-Prosome_mask.png","20130815_104234_248_000000_1072_0684.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",343,278,"False",0.744829780464524,9334,1.78454955690444,7118,1.22769099694274,95354
"22",21,"20130815 104234 482 000001 0099 0724","20130815 104234 482 000001 0099 0724.bmp","20130815_104234_482_000001_0099_0724-Prosome_mask.png","20130815_104234_482_000001_0099_0724.bmp-Lipid_mask.png","ChypVdors","ArcticNet2013","101",1,"8/15/2013",237,319,"False",0.879884919683529,7903,1.4183649435065,7779,1.38774559743508,75603
"23",22,"20130815 104234 948 000002 0139 0724","20130815 104234 948 000002 0139 0724.bmp","20130815_104234_948_000002_0139_0724-Prosome_mask.png","20130815_104234_948_000002_0139_0724.bmp-Lipid_mask.png","ChypVdors","ArcticNet2013","101",1,"8/15/2013",182,329,"False",0.812633073101491,6116,0.995772598979483,6654,1.11863734217869,59878
"24",23,"20130815 104235 481 000000 0223 0152","20130815 104235 481 000000 0223 0152.bmp","20130815_104235_481_000000_0223_0152-Prosome_mask.png","20130815_104235_481_000000_0223_0152.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",144,319,"False",0.808677370030581,4549,0.66184919717549,4914,0.736233480942522,45936
"25",24,"20130815 104236 281 000002 0999 0512","20130815 104236 281 000002 0999 0512.bmp","20130815_104236_281_000002_0999_0512-Prosome_mask.png","20130815_104236_281_000002_0999_0512.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",191,278,"False",0.855942988037669,3448,0.451520911127028,3844,0.524609458625065,53098
"26",25,"20130815 104238 846 000000 0247 0872","20130815 104238 846 000000 0247 0872.bmp","20130815_104238_846_000000_0247_0872-Prosome_mask.png","20130815_104238_846_000000_0247_0872.bmp-Lipid_mask.png","ChypIVlat","ArcticNet2013","101",1,"8/15/2013",110,292,"False",0.892808062299588,4216,0.595933616539606,4048,0.563413110698354,32120
"27",26,"20130815 104240 479 000000 0935 0524","20130815 104240 479 000000 0935 0524.bmp","20130815_104240_479_000000_0935_0524-Prosome_mask.png","20130815_104240_479_000000_0935_0524.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",335,267,"False",0.792201128783992,9497,1.82769758511024,7968,1.43448867075857,89445
"28",27,"20130815 104240 979 000000 0547 0200","20130815 104240 979 000000 0547 0200.bmp","20130815_104240_979_000000_0547_0200-Prosome_mask.png","20130815_104240_979_000000_0547_0200.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",157,502,"False",0.877714181884255,10825,2.1895030903322,9843,1.92021997459369,78814
"29",28,"20130815 104241 645 000000 0179 0600","20130815 104241 645 000000 0179 0600.bmp","20130815_104241_645_000000_0179_0600-Prosome_mask.png","20130815_104241_645_000000_0179_0600.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",267,140,"False",0.786309784993418,3820,0.520094779336034,4322,0.616708630077869,37380
"30",29,"20130815 104243 545 000001 0147 0848","20130815 104243 545 000001 0147 0848.bmp","20130815_104243_545_000001_0147_0848-Prosome_mask.png","20130815_104243_545_000001_0147_0848.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",174,476,"False",0.84394506866417,9317,1.78006583720035,8407,1.54468418105274,82824
"31",30,"20130815 104243 999 000000 0895 0376","20130815 104243 999 000000 0895 0376.bmp","20130815_104243_999_000000_0895_0376-Prosome_mask.png","20130815_104243_999_000000_0895_0376.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",136,329,"False",0.833232992173389,4597,0.671505955533752,4538,0.659641623521211,44744
"32",31,"20130815 104244 711 000000 0215 0300","20130815 104244 711 000000 0215 0300.bmp","20130815_104244_711_000000_0215_0300-Prosome_mask.png","20130815_104244_711_000000_0215_0300.bmp-Lipid_mask.png","MlongFlat","ArcticNet2013","101",1,"8/15/2013",199,241,"False",0.784005468215995,1187,0.103651847100016,1423,0.133124446682004,47959
"33",32,"20130815 104246 577 000000 0735 0188","20130815 104246 577 000000 0735 0188.bmp","20130815_104246_577_000000_0735_0188-Prosome_mask.png","20130815_104246_577_000000_0735_0188.bmp-Lipid_mask.png","ChypMlat","ArcticNet2013","101",1,"8/15/2013",174,506,"False",0.870568090249799,9465,1.81920443802276,9106,1.72467474945426,88044
"34",33,"20130815 104246 810 000000 0651 0472","20130815 104246 810 000000 0651 0472.bmp","20130815_104246_810_000000_0651_0472-Prosome_mask.png","20130815_104246_810_000000_0651_0472.bmp-Lipid_mask.png","ChypMlat","ArcticNet2013","101",1,"8/15/2013",157,361,"False",0.936817007748858,9790,1.90596608402571,9706,1.88343505602729,56677
"35",34,"20130815 104246 999 000000 0491 0184","20130815 104246 999 000000 0491 0184.bmp","20130815_104246_999_000000_0491_0184-Prosome_mask.png","20130815_104246_999_000000_0491_0184.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",204,485,"False",0.877756632710176,17770,4.33914041273967,15778,3.68253384460965,98940
"36",35,"20130815 104252 141 000000 0223 0156","20130815 104252 141 000000 0223 0156.bmp","20130815_104252_141_000000_0223_0156-Prosome_mask.png","20130815_104252_141_000000_0223_0156.bmp-Lipid_mask.png","MlongMlat","ArcticNet2013","101",1,"8/15/2013",170,121,"False",0.08274231678487,141,0.005479708156527,317,0.016760880721057,20570
"37",36,"20130815 104254 240 000000 0131 0272","20130815 104254 240 000000 0131 0272.bmp","20130815_104254_240_000000_0131_0272-Prosome_mask.png","20130815_104254_240_000000_0131_0272.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",165,334,"False",0.8646096555393,6618,1.11029398302977,7402,1.29579644764887,55110
"38",38,"20130815 104258 272 000000 0251 0264","20130815 104258 272 000000 0251 0264.bmp","20130815_104258_272_000000_0251_0264-Prosome_mask.png","20130815_104258_272_000000_0251_0264.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",157,382,"False",0.819487067075844,9073,1.71605542515183,7528,1.32633404040039,59974
"39",39,"20130815 104259 104 000000 0119 0620","20130815 104259 104 000000 0119 0620.bmp","20130815_104259_104_000000_0119_0620-Prosome_mask.png","20130815_104259_104_000000_0119_0620.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",204,340,"False",0.833862287843246,6110,0.994424747447342,7180,1.24247250422566,69360
"40",40,"20130815 104259 237 000001 1072 0680","20130815 104259 237 000001 1072 0680.bmp","20130815_104259_237_000001_1072_0680-Prosome_mask.png","20130815_104259_237_000001_1072_0680.bmp-Lipid_mask.png","ChypVdors","ArcticNet2013","101",1,"8/15/2013",331,235,"False",0.733920108327691,4370,0.626180352270761,5874,0.941811293313105,77785
"41",41,"20130815 104259 238 000000 0923 0628","20130815 104259 238 000000 0923 0628.bmp","20130815_104259_238_000000_0923_0628-Prosome_mask.png","20130815_104259_238_000000_0923_0628.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",199,480,"False",0.897433847629707,11887,2.49135018329333,11848,2.48007729477043,95520
"42",42,"20130815 104259 405 000000 0999 0524","20130815 104259 405 000000 0999 0524.bmp","20130815_104259_405_000000_0999_0524-Prosome_mask.png","20130815_104259_405_000000_0999_0524.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",271,140,"False",0.874137570562409,4676,0.687482847328173,4288,0.610023611934537,37940
"43",43,"20130815 104300 664 000000 0529 0208","20130815 104300 664 000000 0529 0208.bmp","20130815_104300_664_000000_0529_0208-Prosome_mask.png","20130815_104300_664_000000_0529_0208.bmp-Lipid_mask.png","ChypIVdors","ArcticNet2013","101",1,"8/15/2013",109,124,"False",0.677405119152692,2266,0.25298438921166,1535,0.14779665931835,13516
"44",44,"20130815 104300 797 000000 0069 0716","20130815 104300 797 000000 0069 0716.bmp","20130815_104300_797_000000_0069_0716-Prosome_mask.png","20130815_104300_797_000000_0069_0716.bmp-Lipid_mask.png","ChypIVlat","ArcticNet2013","101",1,"8/15/2013",237,113,"False",0.70844837106571,2749,0.330290585257377,3439,0.449895300036738,26781
"45",45,"20130815 104302 903 000000 0119 0868","20130815 104302 903 000000 0119 0868.bmp","20130815_104302_903_000000_0119_0868-Prosome_mask.png","20130815_104302_903_000000_0119_0868.bmp-Lipid_mask.png","ChypIVlat","ArcticNet2013","101",1,"8/15/2013",127,329,"False",0.761232906446711,3816,0.519343378320369,4298,0.611987710391545,41783
"46",46,"20130815 104303 253 000000 0097 0540","20130815 104303 253 000000 0097 0540.bmp","20130815_104303_253_000000_0097_0540-Prosome_mask.png","20130815_104303_253_000000_0097_0540.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",357,165,"False",0.918476672835297,9700,1.88182852291716,9997,1.96180225174795,58905
"47",47,"20130815 104303 770 000000 0579 0360","20130815 104303 770 000000 0579 0360.bmp","20130815_104303_770_000000_0579_0360-Prosome_mask.png","20130815_104303_770_000000_0579_0360.bmp-Lipid_mask.png","ChypIVdors","ArcticNet2013","101",1,"8/15/2013",140,151,"False",0.852751965689778,2682,0.319233280645064,2502,0.290049108508543,21140
"48",48,"20130815 104304 370 000000 0399 0904","20130815 104304 370 000000 0399 0904.bmp","20130815_104304_370_000000_0399_0904-Prosome_mask.png","20130815_104304_370_000000_0399_0904.bmp-Lipid_mask.png","ChypIVlat","ArcticNet2013","101",1,"8/15/2013",119,340,"False",0.860517206271635,4405,0.633111807496423,4732,0.698870629249806,40460
"49",49,"20130815 104304 869 000000 0231 0608","20130815 104304 869 000000 0231 0608.bmp","20130815_104304_869_000000_0231_0608-Prosome_mask.png","20130815_104304_869_000000_0231_0608.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",140,224,"False",0.731358529111338,4831,0.719127944544866,3644,0.487318840077311,31360
"50",50,"20130815 104304 919 000001 0169 0720","20130815 104304 919 000001 0169 0720.bmp","20130815_104304_919_000001_0169_0720-Prosome_mask.png","20130815_104304_919_000001_0169_0720.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",399,147,"False",0.849475345900269,10390,2.06901914457644,9527,1.83566979367743,58653
"51",51,"20130815 104304 999 000000 0775 0340","20130815 104304 999 000000 0775 0340.bmp","20130815_104304_999_000000_0775_0340-Prosome_mask.png","20130815_104304_999_000000_0775_0340.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",161,292,"False",0.80459196406289,3662,0.490643853608439,3569,0.473531953095805,47012
"52",52,"20130815 104305 669 000000 0303 0756","20130815 104305 669 000000 0303 0756.bmp","20130815_104305_669_000000_0303_0756-Prosome_mask.png","20130815_104305_669_000000_0303_0756.bmp-Lipid_mask.png","ChypFdors","ArcticNet2013","101",1,"8/15/2013",174,564,"False",0.806886631304504,9398,1.80145725534057,10700,2.15468935844251,98136
"53",53,"20130815 104305 869 000000 0815 0760","20130815 104305 869 000000 0815 0760.bmp","20130815_104305_869_000000_0815_0760-Prosome_mask.png","20130815_104305_869_000000_0815_0760.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",229,476,"False",0.886197480842068,10141,2.00090529601684,11273,2.31552552749177,109004
"54",54,"20130815 104307 102 000000 1039 0296","20130815 104307 102 000000 1039 0296.bmp","20130815_104307_102_000000_1039_0296-Prosome_mask.png","20130815_104307_102_000000_1039_0296.bmp-Lipid_mask.png","ChypIVdors","ArcticNet2013","101",1,"8/15/2013",140,224,"False",0.761132561132561,3736,0.504378459413455,3106,0.390906648104851,31360
"55",55,"20130815 104307 268 000000 0095 0680","20130815 104307 268 000000 0095 0680.bmp","20130815_104307_268_000000_0095_0680-Prosome_mask.png","20130815_104307_268_000000_0095_0680.bmp-Lipid_mask.png","CglacVdors","ArcticNet2013","101",1,"8/15/2013",267,198,"False",0.771599890978468,2875,0.351362400250265,3625,0.483815868607214,52866
"56",56,"20130815 104308 934 000000 0471 0708","20130815 104308 934 000000 0471 0708.bmp","20130815_104308_934_000000_0471_0708-Prosome_mask.png","20130815_104308_934_000000_0471_0708.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",365,282,"False",0.856340362832673,10159,2.00580809094008,9999,1.96234389224229,102930
"57",57,"20130815 104309 734 000000 0339 0160","20130815 104309 734 000000 0339 0160.bmp","20130815_104309_734_000000_0339_0160-Prosome_mask.png","20130815_104309_734_000000_0339_0160.bmp-Lipid_mask.png","CglacFlat","ArcticNet2013","101",1,"8/15/2013",119,355,"False",0.853208625617043,3314,0.427485618952216,3819,0.51990690103894,42245
"58",58,"20130815 104309 767 000000 0727 0140","20130815 104309 767 000000 0727 0140.bmp","20130815_104309_767_000000_0727_0140-Prosome_mask.png","20130815_104309_767_000000_0727_0140.bmp-Lipid_mask.png","CglacFlat","ArcticNet2013","101",1,"8/15/2013",114,345,"False",0.726703587767879,3470,0.455501413268459,3701,0.497869350098179,39330
"59",59,"20130815 104310 967 000000 0983 0408","20130815 104310 967 000000 0983 0408.bmp","20130815_104310_967_000000_0983_0408-Prosome_mask.png","20130815_104310_967_000000_0983_0408.bmp-Lipid_mask.png","MlongFlat","ArcticNet2013","101",1,"8/15/2013",119,224,"False",0.721457489878542,907,0.071504456460079,1219,0.107527653182657,26656
"60",60,"20130815 104311 067 000000 1039 0740","20130815 104311 067 000000 1039 0740.bmp","20130815_104311_067_000000_1039_0740-Prosome_mask.png","20130815_104311_067_000000_1039_0740.bmp-Lipid_mask.png","MlongFlat","ArcticNet2013","101",1,"8/15/2013",182,224,"False",0.761041009463722,989,0.080576043021891,1244,0.110582697184669,40768
"61",61,"20130815 104311 167 000000 1059 0904","20130815 104311 167 000000 1059 0904.bmp","20130815_104311_167_000000_1059_0904-Prosome_mask.png","20130815_104311_167_000000_1059_0904.bmp-Lipid_mask.png","MlongFdors","ArcticNet2013","101",1,"8/15/2013",127,241,"False",0.738928939237899,1888,0.196660799191137,1489,0.141719540802208,30607
"62",62,"20130815 104311 267 000000 1039 0672","20130815 104311 267 000000 1039 0672.bmp","20130815_104311_267_000000_1039_0672-Prosome_mask.png","20130815_104311_267_000000_1039_0672.bmp-Lipid_mask.png","MlongFlat","ArcticNet2013","101",1,"8/15/2013",157,278,"False",0.660350877192982,997,0.081476876597438,1369,0.126203619909955,43646
"63",63,"20130815 104311 667 000002 0623 0892","20130815 104311 667 000002 0623 0892.bmp","20130815_104311_667_000002_0623_0892-Prosome_mask.png","20130815_104311_667_000002_0623_0892.bmp-Lipid_mask.png","MlongFlat","ArcticNet2013","101",1,"8/15/2013",98,256,"False",0.844366197183099,1231,0.10899113284196,1388,0.128627111426243,25088
"64",64,"20130815 104312 100 000000 0959 0276","20130815 104312 100 000000 0959 0276.bmp","20130815_104312_100_000000_0959_0276-Prosome_mask.png","20130815_104312_100_000000_0959_0276.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",225,396,"False",0.842662246589315,7032,1.20726853901356,7420,1.30014695401968,89100
"65",65,"20130815 104312 300 000001 0439 0336","20130815 104312 300 000001 0439 0336.bmp","20130815_104312_300_000001_0439_0336-Prosome_mask.png","20130815_104312_300_000001_0439_0336.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",140,439,"False",0.859070464767616,6720,1.13397805581292,6920,1.18081391929305,61460
"66",66,"20130815 104312 466 000000 0867 0144","20130815 104312 466 000000 0867 0144.bmp","20130815_104312_466_000000_0867_0144-Prosome_mask.png","20130815_104312_466_000000_0867_0144.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",144,408,"False",0.731423173803526,4856,0.724268553525572,6142,1.00161909242773,58752
"67",67,"20130815 104312 866 000000 1011 0580","20130815 104312 866 000000 1011 0580.bmp","20130815_104312_866_000000_1011_0580-Prosome_mask.png","20130815_104312_866_000000_1011_0580.bmp-Lipid_mask.png","ChypIVlat","ArcticNet2013","101",1,"8/15/2013",237,224,"False",0.830732292917167,4808,0.714407502901246,4342,0.620650349025452,53088
"68",68,"20130815 104313 099 000000 0347 0688","20130815 104313 099 000000 0347 0688.bmp","20130815_104313_099_000000_0347_0688-Prosome_mask.png","20130815_104313_099_000000_0347_0688.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",161,231,"False",0.873651079136691,4145,0.582128566489948,4189,0.590673314729317,37191
"69",69,"20130815 104313 199 000001 0291 0236","20130815 104313 199 000001 0291 0236.bmp","20130815_104313_199_000001_0291_0236-Prosome_mask.png","20130815_104313_199_000001_0291_0236.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",182,319,"False",0.79062114356232,4227,0.598080379916515,4479,0.647835764043316,58058
"70",70,"20130815 104313 233 000000 1039 0228","20130815 104313 233 000000 1039 0228.bmp","20130815_104313_233_000000_1039_0228-Prosome_mask.png","20130815_104313_233_000000_1039_0228.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",259,151,"False",0.866707366707367,4634,0.678975923115709,4539,0.659842228094151,39109
"71",71,"20130815 104313 649 000000 0869 0712","20130815 104313 649 000000 0869 0712.bmp","20130815_104313_649_000000_0869_0712-Prosome_mask.png","20130815_104313_649_000000_0869_0712.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",176,205,"False",0.79454601797335,2970,0.36748443888681,2821,0.342287715196116,36080
"72",72,"20130815 104313 849 000000 0169 0280","20130815 104313 849 000000 0169 0280.bmp","20130815_104313_849_000000_0169_0280-Prosome_mask.png","20130815_104313_849_000000_0169_0280.bmp-Lipid_mask.png","CglacVlat","ArcticNet2013","101",1,"8/15/2013",165,124,"False",0.41079703429101,2630,0.310723418667719,3459,0.453509959645009,20460
"73",73,"20130815 104314 332 000000 0927 0600","20130815 104314 332 000000 0927 0600.bmp","20130815_104314_332_000000_0927_0600-Prosome_mask.png","20130815_104314_332_000000_0927_0600.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",293,361,"False",0.833527357392316,6714,1.13258106992394,7461,1.31007140916489,105773
"74",74,"20130815 104315 798 000000 0967 0452","20130815 104315 798 000000 0967 0452.bmp","20130815_104315_798_000000_0967_0452-Prosome_mask.png","20130815_104315_798_000000_0967_0452.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",382,287,"False",0.871581450653983,10720,2.16024922181857,9742,1.89308217564181,109634
"75",75,"20130815 104317 814 000000 0973 0020","20130815 104317 814 000000 0973 0020.bmp","20130815_104317_814_000000_0973_0020-Prosome_mask.png","20130815_104317_814_000000_0973_0020.bmp-Lipid_mask.png","CglacVdorsex","ArcticNet2013","101",1,"8/15/2013",237,248,"False",0.821917808219178,2584,0.303248538475901,2337,0.263987933688228,58776
"76",76,"20130815 104318 014 000000 0257 0580","20130815 104318 014 000000 0257 0580.bmp","20130815_104318_014_000000_0257_0580-Prosome_mask.png","20130815_104318_014_000000_0257_0580.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",128,241,"False",0.809106830122592,4242,0.601011206740246,4022,0.558425324194346,30848
"77",77,"20130815 104318 081 000000 0929 0708","20130815 104318 081 000000 0929 0708.bmp","20130815_104318_081_000000_0929_0708-Prosome_mask.png","20130815_104318_081_000000_0929_0708.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",233,120,"False",0.84771013426522,5420,0.842857331818774,4626,0.677358867746177,27960
"78",78,"20130815 104318 914 000000 0653 0040","20130815 104318 914 000000 0653 0040.bmp","20130815_104318_914_000000_0653_0040-Prosome_mask.png","20130815_104318_914_000000_0653_0040.bmp-Lipid_mask.png","ChypVlat","ArcticNet2013","101",1,"8/15/2013",203,128,"False",0.847051780903921,3278,0.421090461091052,2893,0.35440177797535,25984
"79",79,"20130815 104319 197 000000 0439 0792","20130815 104319 197 000000 0439 0792.bmp","20130815_104319_197_000000_0439_0792-Prosome_mask.png","20130815_104319_197_000000_0439_0792.bmp-Lipid_mask.png","ChypFlat","ArcticNet2013","101",1,"8/15/2013",229,506,"False",0.894747543205693,14512,3.28109409911836,13445,2.95290154205959,115874
